StartDate,ResponseId,Classification,Student_type,WLB_open,Stress_open,Effects_open,RU open,Overall_experience,Additional,TIPI_1,TIPI_2,TIPI_3,TIPI_4,TIPI_5,TIPI_6,TIPI_7,TIPI_8,TIPI_9,TIPI_10,Race,Race_6_TEXT,Ethnicity,Ethnicity_3_TEXT,Age,
10/11/2023 8:30,R_yVG4CdbE2dMDQ09,Freshman,Neither Employed Student or Student Athlete,I feel that I am very unbalanced.,I go to therapy weekly and take my prescribed medications.,"I sometimes spend too much time studying that I forget about clubs, appointments, eatings, showering, and calling my mom.",I talk to my advisor about my struggles or my teacher assistant in University 100.,I don't have a job but my life-school balance is really bad and has negatively affect my mental heath.,,Neither agree nor disagree,Agree a little,Disagree moderately,Agree strongly,Neither agree nor disagree,Agree strongly,Agree strongly,Agree strongly,Disagree strongly,Neither agree nor disagree,White,,Not Hispanic or Latino/a/x,,18,36271
10/11/2023 8:38,R_zU62nz7ErC1KQJH,Freshman,Neither Employed Student or Student Athlete,I feel ok about it. I do not work or do sports so half of what I do is just school and other stuff. I feel like it is going fine but I am always tired for some reason.,My cat and going to workout out.,I'm often just depressed or tired. Even though I do not have a lot to do,Nothing really besides the game room,"It hasn't affected it much, but I just seem to get more depressed easily and tired more often",Not that I can think of,Disagree a little,Disagree moderately,Agree a little,Neither agree nor disagree,Disagree a little,Agree a little,Agree moderately,Neither agree nor disagree,Neither agree nor disagree,Disagree moderately,White,,Not Hispanic or Latino/a/x,,18,36376
10/11/2023 8:57,R_STpdAWPdWwjkHpT,Freshman,Employed Student,"I think I do an okay job balancing it, and everything always manages to get done, but often at the hand of stress and sacrifice. I do not get much to any down/rest time, and when I do I usually end up working anyways to try and either make more money or get ahead with school.","I use a daily planner, meditation when I have the time, and journaling. I am also starting therapy soon.","It makes my personal relationships difficult. I am good at managing time and scheduling but sometimes there is just not enough time in the day, so I end up sacrificing friend time, which stresses me out due to making my friends unhappy that I cannot hang out ever. ",I use the biweekly yoga class when I can make it to help manage stress levels and to do the life part of work like. ,It has affected it about half the time I have been here. ,None that I can think of,Agree moderately,Neither agree nor disagree,Agree moderately,Agree a little,Agree strongly,Agree a little,Agree strongly,Disagree strongly,Agree a little,Disagree strongly,White,,Not Hispanic or Latino/a/x,,19,36366
10/11/2023 9:10,R_1GHOWcjJzCCrCCh,Sophomore,Employed Student,"I feel that I have had a strong work-life balance since sophomore year of high school because that is when I started to do college classes as well as high school classes, on top of having a job. Maintaining a healthy work-life balance is just part of the routine for me now. ","I use a planner/ calendar to manage all activties or due dates that I have so I can effectively get things done on time without having to cram things in, resulting in bad grades or poor memorization. ","When I get extremely overwhelmed, I tend to have a mental breakdown momentarily but it usually does not last long before I get motivation to keep going.",my academic advisor,it has not changed it much since I have been doing college for quite a long time now. ,no,Disagree a little,Agree moderately,Agree moderately,Agree moderately,Neither agree nor disagree,Agree a little,Agree a little,Disagree moderately,Disagree a little,Disagree moderately,White,,Not Hispanic or Latino/a/x,,18,36120
10/11/2023 9:27,R_3QMCaotWqUDbS89,Sophomore,Neither Employed Student or Student Athlete,Its alright if handled correctly that come with planning and time management.,Sometimes I will take some time out of my day to cancel out everything and relax reflecting on the good things i have going on. As well as the potential positives that could result from these task not that it has to.,At one time slight temper issues due to underlying stress but its not an issue anymore.,N/A,In the past if I didn't manage it correctly it would mess up my experience. But now I am doing pretty good on balancing both and having some time to enjoy for my own.,,Disagree a little,Neither agree nor disagree,Agree moderately,Disagree a little,Agree strongly,Agree a little,Agree a little,Disagree moderately,Neither agree nor disagree,Disagree strongly,White,,Hispanic or Latino/a/x,,19,36216
10/11/2023 10:00,R_3Pzqj35daTQyKH7,Sophomore,Employed Student,"I feel I have a pretty good schedule going. It works for me, and I don't feel stressed or overstimulated most of the time.","I have a planner and I plan out my days before my day usually starts. On Sundays I look at what is due for the week and what I am doing outside of school. This allows me to know what is going on in my life, so I don't get stressed out about plans and school.",,"No, I don't really use the resources Radford provides. I probably should sometimes but I am doing well.","It hasn't, I am still able to enjoy my college life and experience  while working. It is a good mix of both.",,Agree a little,Neither agree nor disagree,Agree a little,Disagree a little,Agree a little,Disagree a little,Agree a little,Disagree a little,Agree a little,Disagree a little,White,,Other,Caucasian,20,36397
10/11/2023 9:52,R_PMrDryKL9VNSXiV,Senior,Student Athlete,I don't work ,sleep,,,it hasnt ,no,Disagree strongly,Neither agree nor disagree,Agree moderately,Disagree strongly,Disagree a little,Agree strongly,Neither agree nor disagree,Disagree strongly,Agree strongly,Neither agree nor disagree,Black or African American,,Not Hispanic or Latino/a/x,,22,36571
10/11/2023 10:06,R_2zBzjk4o4XRyZnA,Freshman,Neither Employed Student or Student Athlete,It can be stressful,Video games,,,,,Agree a little,Disagree moderately,Agree a little,Agree moderately,Neither agree nor disagree,Disagree moderately,Disagree moderately,Disagree moderately,Neither agree nor disagree,Disagree moderately,White,,Not Hispanic or Latino/a/x,,18,36394
10/11/2023 10:12,R_10JJHvpfRlNitm1,Freshman,Neither Employed Student or Student Athlete,I feel fine since I do not work,Setting side time to get my work done on time,Feel like I do not have enough time to manage relationships,no,Has not affected it at all ,no,Agree a little,Agree a little,Agree a little,Agree a little,Disagree a little,Agree a little,Agree a little,Disagree strongly,Disagree a little,Agree a little,White,,Prefer not to say,,18,36160
10/11/2023 10:21,R_1QlW8JnEJ2nQzcJ,Freshman,Neither Employed Student or Student Athlete,"I feel as though I prioritize the things I want to do over the things I know I must do, and it causes a lot of stress as I neglect my responsibilities until the last possible moment. It also often leads to neglect in self-care as well. ",I use the school counseling services so that I have someone to talk to as a healthy outlet. ,"I have found myself in a vicious cycle of tiredness, wanting to sleep so that I could get more work done the following day but not being able to sleep because I know there's things I could/should be doing in the moment. ",,"The further I fall behind, the less motivated I am to try, and it makes being a college student miserable as I feel incapable of catching up or making it to a point where I can succeed. ",,Disagree strongly,Agree moderately,Disagree moderately,Agree strongly,Disagree moderately,Neither agree nor disagree,Agree a little,Agree a little,Disagree strongly,Disagree moderately,White,,Not Hispanic or Latino/a/x,,18,36386
10/11/2023 10:32,R_31KNe6M26Ch8Cxy,Freshman,Neither Employed Student or Student Athlete,I think it needs lots of improvement ,I don't really have ones that I have figured out yet ,Just extreme stress ,no ,It has affected it a lot and I am seriously debating online community college at home because I can't balance out anything ,no ,Agree moderately,Agree a little,Disagree a little,Agree strongly,Agree a little,Disagree a little,Agree a little,Agree strongly,Disagree strongly,Neither agree nor disagree,White,,Not Hispanic or Latino/a/x,,18,36543
10/11/2023 10:04,R_2YJqhGxqAdZzokx,Freshman,Employed Student,"It's a constant struggle of migraines and stress, I wish I could work less but I can't afford it.","I talk to myself about hyperfixations and stuff I like, I also daydream happy things, it's lonely but it seems to calm me down.","I've been giving myself stress headaches, I'm constantly tired and blacking out more from mental exhaustion, and I only eat once a day because I've found it inconvenient and a waste of time.","I don't use any of them, although I feel that I need to really badly, I don't have the time for it.","I've been tired, no time to enjoy anything anymore.",Working and school is hard.,Agree a little,Disagree moderately,Disagree a little,Agree strongly,Agree moderately,Disagree moderately,Agree strongly,Agree moderately,Disagree strongly,Disagree strongly,"Black or African American,White,Other",African-Puerto rican,Hispanic or Latino/a/x,,18,36458
10/11/2023 10:38,R_1cSWbgihNGdm883,Freshman,Neither Employed Student or Student Athlete,"I feel like I have a very good work-life balance, I am able to complete majority of my work before practice, and if need to, I can finish assignments after practice.","When I feel stressed, I just put my Air pods in and just put on my favorite songs at the moment and relax.",none.,no,no,no,Disagree a little,Neither agree nor disagree,Disagree a little,Disagree strongly,Agree a little,Agree a little,Agree moderately,Disagree a little,Agree strongly,Agree moderately,White,,Not Hispanic or Latino/a/x,,18,36189
10/11/2023 11:46,R_eeS2hVcQsbrcDZL,Sophomore,Employed Student,Not good,Going on runs,"n/a
",n/a,n/a,n/a,Agree strongly,Agree a little,Agree a little,Disagree moderately,Agree moderately,Disagree strongly,Agree moderately,Agree strongly,Disagree strongly,Disagree strongly,White,,Hispanic or Latino/a/x,,19,35629
10/11/2023 12:10,R_1mCsUGrfTrW7RRR,Freshman,Employed Student,i constantly feel stressed when im at work because im always worried that im not going to be able to complete my school work before the deadline or that im forgetting to do something but i also need more money right now so i cant stop working at least for right now.,i have not really found anything that helps but i have tired writing down my feeling and making sure i write down all of my assignments that are due.,i have recently experienced some hair loss and not getting enough sleep. ,i really didnt know any of these existed,it has made it very stressfully for me to focus do to either lack of sleep or do to me over thinking,i dont have any,Disagree moderately,Agree a little,Disagree a little,Agree strongly,Agree strongly,Agree a little,Agree strongly,Neither agree nor disagree,Disagree strongly,Disagree strongly,White,,Not Hispanic or Latino/a/x,,"05 26, 2005",36343
10/11/2023 12:24,R_2R48i8RC6b6yjla,Freshman,Neither Employed Student or Student Athlete,I do not yet have a job but I do find it hard to balance everything.,I don't have many stress managing tactics,,,"It is hard balancing life in general with school. I sacrifice ""relax"" time for friends and academics. ",,Disagree strongly,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Agree moderately,Agree strongly,Agree moderately,Neither agree nor disagree,Disagree strongly,Agree moderately,White,,Not Hispanic or Latino/a/x,,18,36292
10/11/2023 9:13,R_1DCk2EZk6p7ruJQ,Freshman,Neither Employed Student or Student Athlete,Work-life balance is very difficult ,Sleeping,Feeling like I canï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½t perform good in both my wo,No but I go for walks to take my mind off of things ,A lot it wasnï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,No,Disagree a little,Disagree a little,Agree a little,Disagree a little,Agree a little,Agree a little,Agree a little,Disagree a little,Neither agree nor disagree,Disagree a little,Black or African American,,Other,African America ,18,36586
10/10/2023 10:31,R_1dKeqMygbZQxL2z,Freshman,Neither Employed Student or Student Athlete,"I feel like I have learned to manage my time well so that I am not stressed out from my work-life balance. Since I am no longer in sports or working during the school week I am basing my opinions on when I did have to balance school, sports, and work. ",Time management to limit stress. Taking personal self care times and taking breaks when I feel extreme stress. ,,,"Over the years I have learned how to manage my time well with my busy work-life, so it has affected my overall college experience positively through knowing how to manage my time well. ",,Disagree moderately,Agree moderately,Agree a little,Neither agree nor disagree,Disagree a little,Agree moderately,Neither agree nor disagree,Disagree moderately,Agree a little,Disagree a little,White,,Not Hispanic or Latino/a/x,,18,36387
10/11/2023 12:08,R_Zk4HgACdHUIqRPz,Freshman,Student Athlete,Decent,Breathing,,,It hasn't affected anything,,Neither agree nor disagree,Disagree a little,Neither agree nor disagree,Disagree a little,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree strongly,Neither agree nor disagree,Disagree strongly,White,,Prefer not to say,,19,36329
10/11/2023 13:05,R_Q4G1TGMJaSkZKlr,Sophomore,Neither Employed Student or Student Athlete,"I am putting in more effort into academics than I am into maintaining a healthy psyche. This being said, I find enjoyment from doing work to the best of my ability but sometimes I wonder if this is the right choice and if I should try not as hard to enjoy this time in college. ",Spending time with friends. ,None.,No other listed. ,I sometimes wonder if I am missing out and if I should be living life to the fullest by sacrificing time spent in work and academics. ,None. ,Agree a little,Disagree strongly,Agree strongly,Agree moderately,Agree a little,Agree a little,Agree a little,Disagree strongly,Neither agree nor disagree,Disagree a little,White,,Prefer not to say,,19,36354
10/11/2023 13:10,R_1NsOpwDJOyCDlW8,Freshman,Student Athlete,I feel stressed and overwhelmed majority of the time ,"just relaxing, putting my phone away (a lot of stress comes from it) being alone, and being productive when i have free time",sometimes i get so stressed i make myself feel nauseous ,no,it has made it difficult to enjoy. ,n/a,Agree a little,Neither agree nor disagree,Agree moderately,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree a little,Neither agree nor disagree,White,,Not Hispanic or Latino/a/x,,18,36391
10/11/2023 13:25,R_3EQOZPR80GlVIKQ,Freshman,Neither Employed Student or Student Athlete,very caotic,I try to put everything I have to do on a planner so I don't forget,I become depressed because of my stress and not be able to do the things I love then I become unmotivated to do anything at all.,no,a stressful experience,nope,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly,Agree moderately,Neither agree nor disagree,Agree moderately,Neither agree nor disagree,Disagree strongly,Disagree strongly,White,,Not Hispanic or Latino/a/x,,18,36501
10/11/2023 14:09,R_3vBCxCnLCyWNg5P,Sophomore,Neither Employed Student or Student Athlete,"Exhausted and feel like all day everyday is spent on school and homework and writing down notes sometimes I am late going to sleep because of it, and I just don't get a lot of spare time to play with my dog, read, play video games, etc...",I have gone to the SCS counseling a few times and I go to the doctor for anxiety medications.,"I have been having physical anxiety symptoms: Tightening chest, shakiness, difficulty breathing, panic attacks ",no,always feel like I am cramming to keep up with classes.,no,Disagree moderately,Neither agree nor disagree,Agree a little,Agree strongly,Disagree strongly,Agree moderately,Agree moderately,Agree a little,Disagree a little,Disagree strongly,White,,Not Hispanic or Latino/a/x,,19,36419
10/11/2023 14:54,R_eINuDx0Lzu1vOBH,Freshman,Neither Employed Student or Student Athlete,"I feel that it could be better, and I am trying to find a balance that lets me do everything. ","sleeping, and meditation ",n/a,no,its been good overall ,no,Agree a little,Neither agree nor disagree,Agree moderately,Neither agree nor disagree,Agree moderately,Agree a little,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,White,,Not Hispanic or Latino/a/x,,18,36241
10/11/2023 17:36,R_3KBnGqAgkOu9mYo,Freshman,Employed Student,I feel I balance my life well but I tend to get stressed out very easily,I try to stick to certain days to get certain classes done so I don't overwhelm myself and I make sure my work is done before I have fun even if it can be stressful,I am apart of something that takes up a lot of my time which is stressful but it also sets aside time for me to get my work done so it balances out,the library,it has made it stressful but I have good grades so it all is balanced out,"no, thank you!",Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree a little,Disagree moderately,Agree moderately,Disagree moderately,Neither agree nor disagree,Agree a little,White,,Not Hispanic or Latino/a/x,,18,36202
10/11/2023 18:53,R_3r0VAf4SgiVkOe0,Sophomore,Employed Student,I am very stressed,working out and walking,,the gym,I am just struggling to find the balance. School is very demanding.,,Disagree strongly,Disagree strongly,Agree strongly,Neither agree nor disagree,Agree strongly,Agree strongly,Agree strongly,Disagree strongly,Neither agree nor disagree,Disagree moderately,White,,Not Hispanic or Latino/a/x,,19,36249
10/11/2023 19:32,R_2EhE5jWGtvDRqjK,Freshman,Neither Employed Student or Student Athlete,"My work-life balance could use a lot of work. With me being a freshman, I am still adapting to the academic work while also trying to find time to take care of my mental health and hangout with my friends. Just answering these questions made me realize that I need to improve on my well-being rather than be so caught up in academics. ","I try to set out days where I strictly do my school work while other days I set aside for my personal life, almost as a self care day. I also try to make a day where I hangout with my friends since they bring joy to my college career. ",I think all of the questions asked accurately describe how I have been feeling my first semester of freshman year. ,"For me, it is not really a resource but when I am stressed I tend to walk around campus to help me calm down and clear my mind. This typically helps because it gives me a break and time to myself. ","I think to a certain degree it has. I see my friends go out all the time to go do fun activities, but I feel as though I do not have enough time to go do the stuff they do because of all the academic demands. ",,Agree a little,Agree strongly,Agree moderately,Agree moderately,Agree a little,Agree strongly,Agree strongly,Agree a little,Disagree moderately,Neither agree nor disagree,White,,Not Hispanic or Latino/a/x,,18 years old,36197
10/11/2023 20:59,R_27HXxBrQaKdHPnS,Freshman,Neither Employed Student or Student Athlete,I think i got everything under control. Time management is an important factor so i try to balance everything out so that i don't stress my self ,Time management. ,Sometimes you will have multiple school homework or research essay that might be due in the same which is sometimes overwhelming situation like that you have to take time from doing what you love to focusing those work ,Personal Fitness i go to the gym often ,I currently don't have a Job so i don't have much experience ,It was a great Topic learned new things. ,Agree a little,Agree a little,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Black or African American,,Not Hispanic or Latino/a/x,,17,36313
10/12/2023 6:54,R_2rBLv4XzDcOGLDT,Freshman,Neither Employed Student or Student Athlete,"I prioritize my academics over everything else, but I also make sure I have time to talk with my loved ones and spend some time with my friends, even if it is just for a meal. I would like more time with loved ones and friends, but I don't feel that I can be as academically successful if I take away time from studying and homework.",Talking with my loved ones when I am stressed and taking small breaks of free time when needed. ,Not feeling like I can take on a job to make money because there are already so many stresses and pressures in my college/personal life balance. ,no,"It has caused some stress in my life, but having a lot of work also makes me stay on campus most weekends. I think this is good because I am able to spend more time with my friends at college and get to experience the college life more fully. ",,Disagree strongly,Agree a little,Agree moderately,Agree strongly,Disagree a little,Agree strongly,Agree a little,Disagree moderately,Neither agree nor disagree,Disagree a little,White,,Not Hispanic or Latino/a/x,,18,36406
10/12/2023 7:48,R_Qbo5MpXIAqxADhn,Sophomore,Employed Student,good,sleep,hard time sleeping,no,not much,no,Disagree strongly,Disagree a little,Disagree a little,Disagree a little,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree moderately,Neither agree nor disagree,Disagree moderately,White,,Not Hispanic or Latino/a/x,,19,36210
10/12/2023 7:47,R_31ayLSYFD4LupIp,Freshman,Employed Student,I feel neutral about my work-life balance,"communicating with friends/relatives, planner",n/a,n/a,It has helped me to stay organized throughout the school year,n/a,Agree a little,Neither agree nor disagree,Agree a little,Disagree a little,Agree moderately,Agree a little,Agree strongly,Disagree moderately,Agree a little,Disagree strongly,White,,Not Hispanic or Latino/a/x,,18,36246
10/12/2023 7:41,R_3Pp259g28NsdfNf,Freshman,Neither Employed Student or Student Athlete,"I feel like I balance my work-life pretty well, but sometimes school work takes over everything else.","When I'm stressed, I usually just take break from my school work and do something else that doesn't stress me at all. Like watching some tv, or reading my books. ",Just being able to get all schoolwork done on all their different due dates.,Not that I can think of.,"It has definitely been harder to keep my personal life happy and have time to do hobbies I enjoy, and also being able to focus and give all my effort to my school work.",no,Disagree moderately,Neither agree nor disagree,Agree a little,Agree moderately,Agree a little,Agree moderately,Agree a little,Disagree moderately,Agree a little,Disagree moderately,White,,Not Hispanic or Latino/a/x,,18,36358
10/12/2023 7:53,R_1nMF0ASECD5At9o,Freshman,Student Athlete,"It is fairly difficult to manage my academic and athletic commitments, but I have developed strategies and habits that have allowed it to be easier.","I like to take time to rest, when available, to relieve my stress and then allow myself to refocus.",,,"Because of the overall academic and athletic pressures that I face, it is often hard to enjoy my college experience and engage in social actvities, because my attention is always focused on the next task.",,Agree a little,Agree a little,Agree strongly,Agree a little,Agree a little,Disagree a little,Agree a little,Disagree moderately,Agree a little,Disagree moderately,"Asian,White",,Not Hispanic or Latino/a/x,,18,36483
10/12/2023 7:59,R_5bBIp5neaxHTbNv,Freshman,Neither Employed Student or Student Athlete,draining ,I don't have one ,adjusting to college life. ,no,"I don't have a job in college, but I did in high school. and it was very draining and that's why I made the decision to not have a job in college. ",no,Agree a little,Agree a little,Agree a little,Agree a little,Disagree a little,Disagree a little,Agree strongly,Disagree a little,Disagree a little,Neither agree nor disagree,White,,Other,white,18,36556
10/12/2023 7:59,R_DovGzWQmES1hVQZ,Freshman,Neither Employed Student or Student Athlete,Depending on how much academic work I have affects how stressful other activities are. ,"Talking to loved ones, taking time to focus on yourself.",Time management stress,Not that I can think of,"While I had a small job for a short amount of time whilst at Radford, it was stressful. For what I was doing is quite time consuming, and having that and many assignments for classes at the same time gave me very little time for myself.",No,Agree a little,Agree a little,Agree a little,Agree moderately,Agree a little,Agree a little,Agree moderately,Disagree moderately,Neither agree nor disagree,Disagree moderately,White,,Not Hispanic or Latino/a/x,,18,36589
10/12/2023 8:24,R_3awHokSLdbuhdvj,Senior,Employed Student,"I feel often I have to either sacrifice academics or sacrifice my social life, to fully try and balance everything. ","I find time to relax, or try to. I wind down my nights the same way normally playing video games, but something it involves smoking weed to calm down and sleep.",,,I often struggle to find the balance each semester and feel by the time I do find the balance the semester is over and I have to restart. ,,Disagree moderately,Disagree a little,Agree a little,Agree a little,Agree moderately,Neither agree nor disagree,Agree strongly,Agree a little,Agree a little,Disagree a little,White,,Not Hispanic or Latino/a/x,,21,36213
10/12/2023 8:57,R_1Eb7WbDVjXZx7rY,Freshman,Neither Employed Student or Student Athlete,"Overall, I think I can juggle school and my personal life but I am constantly stressed over school work",I have a cut off time when I stop working on school work,I find it hard to sleep unless all of my school work is done because it stresses me out knowing I have unfinished assignments,no,I often miss out of events with friends because of my school work,no,Disagree moderately,Agree a little,Agree moderately,Agree moderately,Agree a little,Agree strongly,Agree a little,Disagree moderately,Disagree a little,Agree a little,White,,Not Hispanic or Latino/a/x,,18,36190
10/12/2023 7:40,R_3CD8fOgty9FNWhw,Freshman,Neither Employed Student or Student Athlete,It's okay but I feel like it can be better,I try and validate my feeling and tell myself it's okay to not be happy as long as I don't participate in self-destructive behaviors.,I feel like I can't study as much as a want and still have a social life,The esports center,There's always a low hum of stress I never feel really relaxed,not really,Disagree moderately,Agree a little,Disagree a little,Agree a little,Agree a little,Disagree strongly,Neither agree nor disagree,Disagree moderately,Disagree a little,Disagree moderately,Asian,,Other,Filipino,18,36180
10/12/2023 12:07,R_1im88gkJVQnGJAx,Freshman,Neither Employed Student or Student Athlete,My work-life balance is strongly dependent on my mood so if my mood is low the balance will be off. If my mood is high the balance will be almost perfect.,I often try to get my mind off the source of my stress and return to it at a later time.,N/A,"No, and as a freshman I didn't even know half of these existed. ","When balanced my college experience has actually been really great. That said, once exams and tests come up, things get pretty stressful.",No.,Disagree moderately,Disagree strongly,Agree moderately,Agree a little,Agree strongly,Agree moderately,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Disagree moderately,Black or African American,,Not Hispanic or Latino/a/x,,18,36369
10/12/2023 12:33,R_1ITyT1j8o8y6OCh,Freshman,Neither Employed Student or Student Athlete,Good. I do not work,"Music, TV, Walks",,,I am debating on getting a job because most of my friends have one but I am scared of balancing my stressful workload already with another high demand activity,,Agree a little,Agree a little,Agree a little,Agree moderately,Neither agree nor disagree,Agree strongly,Agree moderately,Disagree moderately,Neither agree nor disagree,Neither agree nor disagree,White,,Not Hispanic or Latino/a/x,,18,36214
10/12/2023 12:32,R_1NhpBLDM1Cm1gz8,Freshman,Employed Student,It is hard for me balance work and life. Sometimes I focus more on my schoolwork and forget that I need to take breaks and focus on my health. ,I try to put my schoolwork aside and just watch tv or get sleep. I often like to be by myself and distance myself because I am stressed.,N/A,None at all.,"I work at night and sometimes I leave work late. When I get back to my dorm, I have to do schoolwork and sometimes I don't get it done.",None,Agree a little,Neither agree nor disagree,Agree moderately,Agree moderately,Disagree a little,Agree strongly,Agree moderately,Disagree strongly,Disagree moderately,Disagree strongly,Black or African American,,Not Hispanic or Latino/a/x,,18,36215
10/12/2023 13:48,R_2D2CS0G4jYFaz9u,Freshman,Employed Student,I feel very content and confident with my work-life balance.,"Keep track of when all my work is do, with the goal of getting them completed early.",,The Radford Library,Having a good work-life balance has made my overall college experience so far enjoyable.,,Agree moderately,Agree a little,Agree moderately,Agree moderately,Agree a little,Agree a little,Agree moderately,Disagree moderately,Agree a little,Disagree moderately,Black or African American,,Not Hispanic or Latino/a/x,,18,36184
10/12/2023 13:49,R_1C87gZQP9wwVOXt,Freshman,Neither Employed Student or Student Athlete,I feel like I have a really good work-life balance ,I usually try to solve my stressor so it doesnt stress me out even more ,,,"Since I have managed to create a good work-life balance, so far I have had a positive college experience",,Agree a little,Disagree moderately,Agree moderately,Disagree strongly,Agree a little,Disagree moderately,Agree a little,Disagree moderately,Agree strongly,Agree moderately,Other,Hispanic ,Hispanic or Latino/a/x,,18,36295
10/12/2023 14:07,R_1Q9Qg0waAE3CiH1,Freshman,Neither Employed Student or Student Athlete,"It really just depends on where you work, I plan on getting a job my second semester. I feel that if you work away from campus it is so much harder to balance school and work. I used to work 6-7 days a week and I still was able to live my social life but work-life balance can be very difficult.",I manage my stress by working out and surrounding myself around the people that love me and care about me,it can lead to many things from depression/anxiety to lowered performance in school and work,none that I know of,my experience is obviously different than everyone else but I have had it pretty easy when it comes to balancing work-life.,N/A,Agree moderately,Agree moderately,Agree strongly,Agree a little,Agree a little,Disagree moderately,Neither agree nor disagree,Disagree strongly,Agree a little,Disagree moderately,White,,Not Hispanic or Latino/a/x,,18,36449
10/12/2023 14:04,R_3e2Gyj440UlYuAI,Freshman,Neither Employed Student or Student Athlete,"I feel like my life is consumed by school and schoolwork. It's the same thing all the time, just different day. I have schoolwork due on the weekend, which sucks. ","When I get overwhelmed, I just stop and take a break instead of pushing myself overboard. ",I have no time for myself and the things I used to do.,no ,,,Disagree moderately,Agree a little,Agree moderately,Agree a little,Agree a little,Agree moderately,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,"Native Hawaiian or Other Pacific Islander,White",,Not Hispanic or Latino/a/x,,18,36212
10/12/2023 14:55,R_3ExMGvVkZY6iHir,Freshman,Student Athlete,im student athlete but i feel like i am managing it okay,"I just make sure that I have ample down time in between playing sports, the gym, and school work ",none,no ,I have found more efficient ways to balance these things ,no ,Agree strongly,Disagree moderately,Agree moderately,Disagree strongly,Agree strongly,Neither agree nor disagree,Agree a little,Disagree moderately,Agree moderately,Disagree moderately,Black or African American,,Not Hispanic or Latino/a/x,,18,36567
10/12/2023 15:13,R_22zfBBtMtM9E1K3,Freshman,Neither Employed Student or Student Athlete,good,calendar,none,none ,none ,none,Disagree moderately,Disagree moderately,Agree a little,Agree moderately,Agree a little,Agree moderately,Agree moderately,Disagree moderately,Neither agree nor disagree,Disagree a little,White,,Not Hispanic or Latino/a/x,,18,36498
10/12/2023 16:19,R_cJ5yOIHkNoDcHTP,Freshman,Student Athlete,I am able to manage it but it can be stressful at times,Planning ,,,,,Neither agree nor disagree,Neither agree nor disagree,Agree moderately,Agree a little,Agree moderately,Agree a little,Agree strongly,Disagree moderately,Agree moderately,Neither agree nor disagree,White,,Not Hispanic or Latino/a/x,,18,36135
10/12/2023 16:50,R_1iscYkMxVTHd8rQ,Freshman,Student Athlete,I feel like it is manageable but could be better ,I call and talk to my family and friends asking for advice ,,The Student Athlete study hall tutors  ,It has made it a tad bit more stressful but I still enjoy life ,,Agree a little,Neither agree nor disagree,Agree a little,Disagree a little,Agree a little,Disagree moderately,Agree a little,Disagree a little,Agree a little,Disagree moderately,White,,Not Hispanic or Latino/a/x,,19,36328
10/12/2023 18:36,R_3Ezqf45144Lmy04,Freshman,Neither Employed Student or Student Athlete,Stressed,I like to watch Netflix,I definitely feel anxious when I canï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï,The Student Recreation and Wellness Center,Itï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½s hard b,No ,Agree a little,Agree moderately,Agree moderately,Agree moderately,Agree moderately,Disagree moderately,Agree moderately,Disagree strongly,Agree a little,Disagree moderately,"Black or African American,White",,Not Hispanic or Latino/a/x,,18,36178
10/12/2023 22:44,R_11aLVyIKZGISYp8,Freshman,Employed Student,"I work two jobs and I'm enrolled in 6 classes, it's overwhelming. ","





going home",,,no time for friends or sleep,,Agree a little,Agree a little,Agree moderately,Agree moderately,Agree moderately,Neither agree nor disagree,Agree moderately,Disagree moderately,Disagree moderately,Disagree moderately,White,,Not Hispanic or Latino/a/x,,18,36221
10/13/2023 6:19,R_1l63XfXOpq309iR,Freshman,Employed Student,"I am very lucky with where I work. I am able to work and also do my school work at the same time, so I am not very stressed out. If I had a job where I could not do my school work while working then I probably would not have a job. ",I try to study as much as I can so that I do not stress over academics. ,Everyday right when I get out of school at 12:50 I drive to work and stay until 8pm. I do not have a lot of time for things outside of school or work.,No ,"I am always in class, at home, or at school. I do not have the college experience because I am always busy doing things I have to do. ",No ,Disagree strongly,Disagree strongly,Agree strongly,Agree a little,Agree moderately,Neither agree nor disagree,Agree strongly,Disagree strongly,Agree a little,Agree a little,White,,Other,white ,18,36433
