Classification,Student_type,WLB_1,WLB_2,WLB_3,WLB_4,WLB_5,WLB_6,WLB_7,WLB_8,WLB_9,WLB_10,WLB_11,Overall_stress,Stress_1,Stress_2,Stress_3,Stress_4,Stress_5,Stress_6,Effects_1,Effects_2,Effects_3,Effects_4,Effects_5,Effects_6,Effects_7,Effects_8,Effects_9,Effects_10,Coping Resources_1,Coping Resources_2,Coping Resources_3,Coping Resources_4,Coping Resources_5,Coping Resources_6,Coping Resources_7,Coping Resources_8,Coping Resources_9,Coping Resources_10,Coping Resources_11,Coping Resources_12,Coping Resources_13,Coping Resources_14,Coping Resources_15,Coping Resources_16,Coping Resources_17,Coping Resources_18,TIPI_1,TIPI_2,TIPI_3,TIPI_4,TIPI_5,TIPI_6,TIPI_7,TIPI_8,TIPI_9,TIPI_10,Ethnicity,id,ResponseId,WLB_open,Stress_6_TEXT,Stress_open,Effects_open,RU open,Overall_experience,Additional,Race,Race_6_TEXT,Ethnicity_3_TEXT,Age
1,1,4,4,4,4,4,2,3,4,4,2,2,1,3,2,2,2,6,2,3,3,4,4,1,3,2,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,4,4,5,5,4,4,4,4,3,3,2,36323,R_1geEsDcDTc7pA3P,"Pretty good, It's under control",,Prioritize/categorize,"Not really any, I take a school leave from work so I can focus on my studies.",No,It hasn't effected it at all.,"I leave my work life at home and focus on school, only working on breaks or holidays.",3,,,18
4,1,2,2,2,2,4,3,4,4,2,1,1,4,9,2,8,8,3,2,5,5,4,3,5,5,2,5,4,5,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,6,7,5,5,5,7,1,3,2,2,35525.96543,R_3rJ2EWBcnBaO3FC,"I wish I didn���t have to work while in school. I would have more time to eat a proper meal, go to the gym, and time to rest. I need to work to pay rent, but it���s just",,I make an attempt to work out at least three times a week to help relieve stress.,,,I don���t have time for things like parties and going out with my friends. It���s harder to have a social life when you don���t have time to han,,5,,,21
1,1,4,4,4,4,4,3,4,4,4,4,4,3,8,6,3,3,3,10,4,4,4,2,2,3,2,2,3,4,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,4,6,5,7,3,7,3,5,2,3,36582,R_25t3rqxNoDF8VUS,"I do better with a busy schedule, so my work-life helps me do better academically. ",,"I spend time listening to music to clear my head if I am having a stressful day, or I call my mom. I also have a journal I write in that helps a lot. ",I feel a lot of stress towards my classes when I am not doing well in them.,No,It is sometimes stressful to have to balance my work-life if I have a lot of school work to do.,No,5,,,18
1,1,2,1,4,3,4,3,1,4,3,1,1,4,8,2,6,8,9,10,4,4,2,3,3,4,5,4,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,3,3,4,1,3,2,4,2,36598,R_1gBVbonurBOB3jm,"I feel like my work life balance is okay, but as stated above, school comes first over everything and can be extremely overwhelming and lots of sleep gets lost. ",,"I manage my stress by doing more, sounds counteractive but if I am occupied on something else I don't have time to stress, which probably doesn't help. ",,no,"It has been really stressful, however I have to work to pay for gas and food and school, so I don't have choice to work. ",no,5,,,18
2,1,4,4,4,4,4,4,5,4,4,3,4,3,6,10,3,3,8,10,3,3,3,2,1,4,3,2,2,3,1,1,3,1,1,2,3,1,3,1,1,1,1,1,2,1,2,1,3,6,6,6,4,5,5,2,3,2,2,36120,R_1GHOWcjJzCCrCCh,"I feel that I have had a strong work-life balance since sophomore year of high school because that is when I started to do college classes as well as high school classes, on top of having a job. Maintaining a healthy work-life balance is just part of the routine for me now. ",,"I use a planner/ calendar to manage all activties or due dates that I have so I can effectively get things done on time without having to cram things in, resulting in bad grades or poor memorization. ","When I get extremely overwhelmed, I tend to have a mental breakdown momentarily but it usually does not last long before I get motivation to keep going.",my academic advisor,it has not changed it much since I have been doing college for quite a long time now.,no,5,,,18
1,1,3,1,2,1,2,3,4,2,2,4,1,5,9,10,9,2,2,10,5,4,4,4,3,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,6,6,6,4,6,2,2,2,2,36221,R_11aLVyIKZGISYp8,"I work two jobs and I'm enrolled in 6 classes, it's overwhelming. ",,"





going home",,,no time for friends or sleep,,5,,,18
1,1,1,1,3,2,4,1,1,2,1,1,1,4,9,10,6,6,8,10,5,5,5,3,5,3,3,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,4,6,6,7,7,3,4,1,2,36382,R_1ImifhReqWUxbEU,"My work-life balance is great. My school-life balance is not. My professors seem to feel that each of their classes are my only classes and the due dates and expectations are unrealistic of  working adult. If school was all that I ws doing fine, but its not.",,flexible attendance policies,,,yes,,7,,,34
2,1,4,4,4,3,4,4,4,4,4,3,2,2,6,2,2,2,3,2,2,1,3,2,1,1,3,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,5,3,5,3,5,3,5,3,3,36397,R_3Pzqj35daTQyKH7,"I feel I have a pretty good schedule going. It works for me, and I don't feel stressed or overstimulated most of the time.",,"I have a planner and I plan out my days before my day usually starts. On Sundays I look at what is due for the week and what I am doing outside of school. This allows me to know what is going on in my life, so I don't get stressed out about plans and school.",,"No, I don't really use the resources Radford provides. I probably should sometimes but I am doing well.","It hasn't, I am still able to enjoy my college life and experience  while working. It is a good mix of both.",,5,,Caucasian,20
2,1,2,2,4,3,4,5,4,4,3,2,2,4,9,8,6,8,2,8,4,1,4,4,2,4,2,5,4,4,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,2,6,3,1,2,5,4,1,36136,R_ptrkwb857jsQd5n,"It is definitely hard to balance life between classes, work, rugby, friendships, and sleep however, I manage to get through it all. Sometimes it is hard to figure out what should come first and actually do it.  There is always going to be struggle through life so there is no need to see it as a bad thing. It is just growing as a person.",Sleep,I just stick to a schedule and have open times between my days that allow me to be more flexible. This helps with the social life part of it and the homework part aswell.,Stress just builds up while at school. There are so many important things I need to get done throughout the day so getting food or cleaning feels like a chore at times when it should just feel normal.,"Not really, it would take more time out of my day and I do not need mental help I just need to keep up.",It has taught me hard work pays off and for certain people hard work is the minimum you can do.,,"3,5",,,19
1,1,2,2,4,3,4,4,2,1,3,1,1,4,8,10,8,10,8,10,4,4,5,3,5,5,5,5,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,5,6,3,5,5,5,3,4,3,36588,R_2YaGM8Cq4S6Yjay,I get extremely tired very often. But I cannot quit the job due to the cost of the tuition I pay.,,Staying up nights in a row to quickly knock out school work so I have time for my fulltime job.,,,Stressful.,,5,,,18
2,1,2,1,3,1,3,4,1,4,4,1,1,4,9,10,6,3,2,2,5,5,4,4,5,3,5,5,4,5,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,6,3,7,5,6,2,6,2,7,1,4,35343,R_1mWT7HfKIWkK4u1,"I have 2 job's, so not great ",,smoking,"I never have time to do laundry, or go to the store because of the parking in radford. ",,"It has made it impossible almost to enjoy, because tuition is constantly raised. The school takes any opportunity to take advantage of our money. ",,5,,,21
1,1,2,1,4,3,4,3,1,4,3,1,1,4,8,2,6,8,9,10,4,4,2,3,3,4,5,4,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,3,3,4,1,3,2,4,2,36598,R_1gBVbonurBOB3jm,"I feel like my work life balance is okay, but as stated above, school comes first over everything and can be extremely overwhelming and lots of sleep gets lost. ",,"I manage my stress by doing more, sounds counteractive but if I am occupied on something else I don't have time to stress, which probably doesn't help. ",,no,"It has been really stressful, however I have to work to pay for gas and food and school, so I don't have choice to work. ",no,5,,,18
2,1,4,5,4,4,4,4,4,4,4,2,3,2,8,10,6,3,6,10,3,3,3,1,4,2,3,4,3,3,1,3,1,1,1,1,1,1,4,1,1,3,1,2,2,1,1,1,4,5,7,1,3,3,2,1,6,4,3,36199,R_3iqiH1vPNVoZVnC,good,,day planner,sometimes family can be stressful,no,my employer is not good at working with my schedule,no,"1,2,4,5",,,19
1,1,4,2,2,1,3,4,5,4,4,3,2,4,3,10,8,10,3,10,2,4,4,4,2,5,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,7,3,5,1,3,1,1,1,2,36381,R_2UYJvOdHFwPbV9y,It could be better,,Take my medication,,I'm not on main campus leaving a lot of these resources unavailable,There has been stress about making enough money to feed myself and get around,,5,,,18
1,1,4,2,2,1,3,4,5,4,4,3,2,4,3,10,8,10,3,10,2,4,4,4,2,5,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,7,3,5,1,3,1,1,1,2,36381,R_2UYJvOdHFwPbV9y,It could be better,,Take my medication,,I'm not on main campus leaving a lot of these resources unavailable,There has been stress about making enough money to feed myself and get around,,5,,,18
2,1,2,3,4,3,4,3,2,4,4,3,2,3,8,10,8,10,6,10,4,3,4,4,3,2,2,2,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,6,6,5,4,5,3,5,3,2,36375,R_80WOPL88yh9BtlL,"It can improve, but it's not bad! ",,Winding down with creative time.,Poor sleep.,No.,Taught me to be more wise with my time.,No.,5,,,20
1,1,4,2,2,1,3,4,5,4,4,3,2,4,3,10,8,10,3,10,2,4,4,4,2,5,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,7,3,5,1,3,1,1,1,2,36381,R_2UYJvOdHFwPbV9y,It could be better,,Take my medication,,I'm not on main campus leaving a lot of these resources unavailable,There has been stress about making enough money to feed myself and get around,,5,,,18
1,1,4,3,5,4,4,4,3,4,4,3,4,4,9,2,6,2,8,9,5,5,5,5,1,4,3,2,2,4,1,1,1,1,1,1,3,1,1,1,1,1,1,3,4,1,1,1,6,4,7,7,5,2,7,2,3,4,2,36298,R_1onEujBmBRgNcIu,I feel good about it. I feel like I have mananged very well.,Family,I talk to my therapist and I do things to make sure I have a good time.,Anxiety,,A few weeks,,"3,5",,,18
1,1,4,3,4,4,3,4,2,3,3,2,2,2,8,2,3,2,6,10,4,3,4,5,4,5,4,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,6,3,7,6,5,4,3,2,2,36525,R_3nI9giF9jjXnPIt,"I feel as though I manage my time well with most things, but I may feel that way because I get everything done while forgetting to get enough sleep which affects my physical health.",,I figure out where/how I feel the stress to best manage it if it's not already managed from the schedules I make to try to manage it. I'll normally hangout with friends to take my mind off of it.,,,"I don't think it has affected my overall college experience, other than the lack of sleep I get which makes me tired in other areas.",,5,,,18
1,1,4,4,4,4,4,3,4,4,4,4,4,3,8,6,3,3,3,10,4,4,4,2,2,3,2,2,3,4,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,4,6,5,7,3,7,3,5,2,3,36582,R_25t3rqxNoDF8VUS,"I do better with a busy schedule, so my work-life helps me do better academically. ",,"I spend time listening to music to clear my head if I am having a stressful day, or I call my mom. I also have a journal I write in that helps a lot. ",I feel a lot of stress towards my classes when I am not doing well in them.,No,It is sometimes stressful to have to balance my work-life if I have a lot of school work to do.,No,5,,,18
2,1,4,3,4,3,4,4,4,4,4,4,5,3,8,2,6,8,6,10,2,4,4,4,1,5,4,2,2,4,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,7,6,5,1,5,1,5,7,2,37110.7669,R_2ty78QjeAx26PGt,"I feel that it is hard at times but also easy at other times. It���s not for everyone, I have always had a job and school therefore, I do not find it too",,"Time management, a calendar, and a journal/sticky notes. I like to see everything i have for my class, work schedule, and sorority events on a calendar white board so i know what i have going on each day. Another thing that helps me is having sticky notes on my mac book to see what assignments i have each week in all my classes.",I just feel burnt out at the end of days,,It has made me more social and gives me reasons to leave my room along with feeling more financially stable.,nope!,5,,,19
1,1,4,3,5,4,4,4,3,4,4,3,4,4,9,2,6,2,8,9,5,5,5,5,1,4,3,2,2,4,1,1,1,1,1,1,3,1,1,1,1,1,1,3,4,1,1,1,6,4,7,7,5,2,7,2,3,4,2,36298,R_1onEujBmBRgNcIu,I feel good about it. I feel like I have mananged very well.,Family,I talk to my therapist and I do things to make sure I have a good time.,Anxiety,,A few weeks,,"3,5",,,18
1,1,4,3,4,4,4,3,4,4,4,4,3,3,8,10,6,10,8,10,4,2,3,4,2,2,4,2,2,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,6,5,4,5,5,2,5,2,2,36137,R_2RXktcirWN9gylB,"I think it's taken a while for me to figure it out, and there are still certain instances where I may get extremely stressed, loose sleep or have to sacrifice personal commitments, but overall, I think I'm in a good balancing spot currently. ",,"Talking to family/close friends, journaling, etc.",I think my main one is just being anxious,No,It's probably made it a little bit more stressful but not a ton by any means.,,5,,,18
2,1,4,4,4,4,4,4,5,4,4,3,4,3,6,10,3,3,8,10,3,3,3,2,1,4,3,2,2,3,1,1,3,1,1,2,3,1,3,1,1,1,1,1,2,1,2,1,3,6,6,6,4,5,5,2,3,2,2,36120,R_1GHOWcjJzCCrCCh,"I feel that I have had a strong work-life balance since sophomore year of high school because that is when I started to do college classes as well as high school classes, on top of having a job. Maintaining a healthy work-life balance is just part of the routine for me now. ",,"I use a planner/ calendar to manage all activties or due dates that I have so I can effectively get things done on time without having to cram things in, resulting in bad grades or poor memorization. ","When I get extremely overwhelmed, I tend to have a mental breakdown momentarily but it usually does not last long before I get motivation to keep going.",my academic advisor,it has not changed it much since I have been doing college for quite a long time now.,no,5,,,18
1,1,3,2,5,3,3,5,2,2,5,2,1,5,9,2,8,2,9,10,5,4,5,3,5,1,5,3,5,5,3,1,1,1,2,1,1,1,4,1,1,3,1,2,1,1,3,2,3,4,7,4,7,6,4,1,3,1,2,36258,R_WiKudUlBLkLQixH,challenging but doable,,"music, time management ",,,Don't have time to make friends and enjoy the weekends,,5,,,18
2,1,3,3,5,4,4,4,3,4,4,2,3,3,8,10,6,2,3,10,4,5,5,3,1,4,4,2,4,3,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,5,3,6,4,5,4,5,2,4,5,2,36454,R_2v80t8Xp66wCYKZ,"I feel like I have a good system to where I don't get burnt out, and still complete my work. It can be exhausting at time, but the reward outways the negative aspects. It does feel stressful to think about the amount of hours I'm working, consider I have to pay for the next two years still. ",,"I make time to go to open labs, just to get the extra studying it. I try to focus only on work or only on school as to not overwhelm myself. I maintain a schedule or checklist to remind myself of everything I have to do that day.",,"Not really. I also don't know where or what a lot of these resources do, or when they are avaliable ",It's a little stressful know that I have to continue working in order to pay for next year. It's also made it harder to make friends.,,5,,,19
1,1,2,2,4,2,4,4,3,2,2,2,2,3,6,2,8,2,8,2,4,4,4,4,3,4,4,4,4,4,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,7,4,6,3,6,1,5,1,2,36377,R_p5zk2ZzzhNS3eKZ,I feel as though needing to work for financial supports adds on more stress,,Speaking with and spending time with loved ones,,,The need to work and do well in classes takes away from feeling like an actual teenager,,"1,3",,,18
1,1,2,1,4,3,4,3,1,4,3,1,1,4,8,2,6,8,9,10,4,4,2,3,3,4,5,4,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,3,3,4,1,3,2,4,2,36598,R_1gBVbonurBOB3jm,"I feel like my work life balance is okay, but as stated above, school comes first over everything and can be extremely overwhelming and lots of sleep gets lost. ",,"I manage my stress by doing more, sounds counteractive but if I am occupied on something else I don't have time to stress, which probably doesn't help. ",,no,"It has been really stressful, however I have to work to pay for gas and food and school, so I don't have choice to work. ",no,5,,,18
3,1,2,2,4,3,3,3,1,2,3,1,2,4,8,2,6,6,3,10,4,2,3,3,4,2,4,1,4,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,5,2,7,5,6,5,7,1,5,2,2,36275,R_3iUdSimsgyfJRrK,It can be overwhelming at times.,,Music,,No,I have been away from work because of college,,3,,,20
1,1,4,4,4,3,4,4,4,3,3,4,4,3,6,2,6,10,6,10,3,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,3,2,6,3,2,4,2,1,2,1,2,36341,R_2Cv3s5u5YjOmuwJ,Great,,Time Management,,No,no,no,3,,,18
1,1,1,1,3,2,2,2,1,2,2,1,1,4,9,10,9,3,9,10,4,4,4,4,1,2,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,5,5,5,5,5,5,5,4,36265,R_Zr7mvQ21GPtmn5L,Neutral,,"Running 
",,,,,5,,,18
4,1,2,2,2,2,4,3,4,4,2,1,1,4,9,2,8,8,3,2,5,5,4,3,5,5,2,5,4,5,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,6,7,5,5,5,7,1,3,2,2,35525.96543,R_3rJ2EWBcnBaO3FC,"I wish I didn���t have to work while in school. I would have more time to eat a proper meal, go to the gym, and time to rest. I need to work to pay rent, but it���s just",,I make an attempt to work out at least three times a week to help relieve stress.,,,I don���t have time for things like parties and going out with my friends. It���s harder to have a social life when you don���t have time to han,,5,,,21
1,1,2,1,4,3,4,3,1,4,3,1,1,4,8,2,6,8,9,10,4,4,2,3,3,4,5,4,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,3,3,4,1,3,2,4,2,36598,R_1gBVbonurBOB3jm,"I feel like my work life balance is okay, but as stated above, school comes first over everything and can be extremely overwhelming and lots of sleep gets lost. ",,"I manage my stress by doing more, sounds counteractive but if I am occupied on something else I don't have time to stress, which probably doesn't help. ",,no,"It has been really stressful, however I have to work to pay for gas and food and school, so I don't have choice to work. ",no,5,,,18
1,1,3,2,4,3,4,4,3,1,3,1,2,4,8,2,6,2,9,2,3,2,4,4,5,1,3,2,3,4,1,2,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,4,4,4,5,6,2,5,1,4,3,2,36457,R_3ktvRRlYIVrJnHw,it comes in handy but does add a lot of stress,,listening to music and going to the library to study,,I talk to my academic advisor when necessary.,its definitely made it stressful,none,5,,,18
1,1,5,5,4,4,4,3,4,4,4,2,2,4,8,2,6,3,8,2,4,3,5,4,3,1,4,4,3,4,2,3,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,7,4,6,6,6,5,5,3,2,3,2,36304,R_110ko0hofowX9c1,I think it is a good balance and that I can handle it,,I talk to my mom a lot and try to time manage well so I can be succesfull,I would say serious exams and just maintaining life,Not really I kind of just stay in my room and study,I think it has showed me what college is really like and what to expect.,Study hard and use more resources than I have,5,,,18
2,1,2,3,4,3,4,3,2,4,4,3,2,3,8,10,8,10,6,10,4,3,4,4,3,2,2,2,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,6,6,5,4,5,3,5,3,2,36375,R_80WOPL88yh9BtlL,"It can improve, but it's not bad! ",,Winding down with creative time.,Poor sleep.,No.,Taught me to be more wise with my time.,No.,5,,,20
1,1,4,4,4,4,4,3,3,4,4,2,3,3,8,2,3,2,2,2,3,2,3,3,1,2,2,2,2,4,1,1,2,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,6,5,6,5,6,5,6,2,6,2,2,36420,R_33d637kj0vjXCbD,Flexible,,Taking multiple breaks when needed because in order to get things done or get by stressful days mental health need to be relaxed.,I get severe migraines,no,not at all because it provides me a flexible schedule,no,6,middle-eastern,,18
1,1,4,2,5,4,4,3,3,4,5,3,4,2,6,3,3,2,2,10,3,2,4,4,2,3,4,1,2,4,1,3,2,2,3,1,1,2,3,1,1,1,1,1,2,1,1,1,4,4,7,1,5,6,6,1,7,1,3,36171,R_3ir1YLpJYhwzcNj,"I work but it doesn't really get in the way of my schooling because it is a job that I work when I go back home. When I talk about stress that I may have about work and school is because I try and come up with a monthly schedule of what weekends I am going to go home and what weekends I will stay at school. There is also some stress when it comes to making sure that I have all of my work done before I leave to go home. Other than that, I would still say that I have a pretty good hold a on managing my school/work life. ",,The Calander I use to schedule out my life. And I also talk to my parents about what weekends are best for me to come home.,,My answers are based off of based off the fact that i dont use these resources because I dont need them currently but when I do I know where to go and who to talk to.,It hasn't affected it all that much the only time it really affects me is when Im trying to plan out my scheduals or if there is an assignment that I might have forgotten about that I now have to squeeze in when I'm home.,,"5,6",Irish,none,18
2,1,5,5,1,1,1,5,5,1,1,5,5,3.391497545,14.80640875,3.267498493,7.2415594,-5.300466226,0.382090492,-5.168982387,8.412327008,3.288038486,2.175790904,1.65205423,10.36933202,-0.52028142,-1.512037296,4.086202589,2.335787782,-0.85486139,0.366343429,4.60681505,4.37011209,1.712824499,0.830459238,1.981954265,7.510324095,1.670352517,6.200087401,1.558641294,1.009062724,-0.679935075,1.052887332,3.140237677,2.276981454,1.092291495,1.693218058,1.699484064,6.778239645,8.007270309,3.303544086,-3.115613951,10.49067505,4.926974046,10.93760627,5.871492496,2.455786676,-12.43317766,4.409398313,30142,R_sChpBeQx7Uch9bX,jhhhvjvjhv,,,,,,,,,,
